case_name,model_name,collision,collocation,nh,Time,nb_iter,calc_time
S-turn,cinematic,2017 penetration,implicit_Euler,101,5.2790760893815065,203,3.450000047683716
S-turn,cinematic,2023,implicit_Euler,101,5.383495558205717,567,15.84500002861023
S-turn,dynamic,2012,implicit_Euler,101,2.837145888049482,72,1.5169999599456787
S-turn,dynamic,2017,implicit_Euler,101,2.8372408551945054,85,1.433000087738037
S-turn,dynamic,2017 penetration,implicit_Euler,101,2.837150724360337,194,3.2239999771118164
S-turn,dynamic,2023,implicit_Euler,101,22.371873305881763,491,17.306999921798706
S-turn,cinematic,2012,Runge_Kutta,101,54281.55609117039,1000,59.25800013542175
S-turn,cinematic,2017,Runge_Kutta,101,5.277042621362023,35,1.4519999027252197
S-turn,cinematic,2017 penetration,Runge_Kutta,101,5.276841626707354,168,5.1000001430511475
S-turn,cinematic,2023,Runge_Kutta,101,5.381326065203225,115,5.5980000495910645
S-turn,dynamic,2012,Runge_Kutta,101,22.804436968412297,556,39.325000047683716
S-turn,dynamic,2017,Runge_Kutta,101,2.8351747476519016,79,3.86899995803833
S-turn,dynamic,2017 penetration,Runge_Kutta,101,2.835085436307418,196,8.144000053405762
S-turn,dynamic,2023,Runge_Kutta,101,2.8829202625256807,346,15.21399998664856
S-turn,cinematic,2012,Crank_Nicolson,101,2783.8999027735126,1000,48.1029999256134
S-turn,cinematic,2017,Crank_Nicolson,101,5.279276123496466,37,0.877000093460083
S-turn,cinematic,2017 penetration,Crank_Nicolson,101,5.279076089381507,204,8.54099988937378
S-turn,cinematic,2023,Crank_Nicolson,101,5.383495558205716,200,7.492999792098999
S-turn,dynamic,2012,Crank_Nicolson,101,2.8371458880494815,165,6.8999998569488525
S-turn,dynamic,2017,Crank_Nicolson,101,2.837240855194503,58,1.9879999160766602
S-turn,dynamic,2017 penetration,Crank_Nicolson,101,2.8371507243603435,183,4.175999879837036
S-turn,dynamic,2023,Crank_Nicolson,101,23.49437775570823,272,9.555000066757202
S-turn,cinematic,2012,RadauIIA-2,101,5.278099521866103,102,2.1610000133514404
S-turn,cinematic,2017,RadauIIA-2,101,5.2783061682795065,37,0.5900001525878906
S-turn,cinematic,2017 penetration,RadauIIA-2,101,5.278101311206089,198,3.565999984741211
S-turn,cinematic,2023,RadauIIA-2,101,5.382429463415191,242,6.676000118255615
